name,long,lat
acer rubrum,-90.2471215,38.59869238
platanus acerifolia,-90.24970791,38.598943
acer rubrum,-90.24830476,38.59868236
other,-90.24678294,38.59810918
other,-90.24611197,38.59938929
other,-90.25263788,38.6026346
other,-90.25054277,38.60144394
acer rubrum,-90.25031688,38.6006274
other,-90.25142463,38.60261359
platanus acerifolia,-90.25821344,38.6014169
acer rubrum,-90.25633328,38.60198503
quercus palustris,-90.28447258,38.65236551
other,-90.28444482,38.65246093
other,-90.28443528,38.65255884
pyrus calleryana,-90.2913525,38.65055868
other,-90.29233487,38.65016767
other,-90.29248889,38.65018697
quercus palustris,-90.24032066,38.72014803
other,-90.2844429,38.64864627
quercus palustris,-90.28463299,38.64866294
gleditsia triacanthos,-90.28478422,38.64867737
tilia cordata,-90.28973095,38.64893912
quercus palustris,-90.28991854,38.64959981
fraxinus pennsylvanica,-90.29041146,38.64998545
fraxinus pennsylvanica,-90.24019604,38.72133243
quercus palustris,-90.27963799,38.6522191
other,-90.25197467,38.60277477
other,-90.25163351,38.60164735
other,-90.24305453,38.59672435
other,-90.24303643,38.59681042
other,-90.2455793,38.58739662
quercus palustris,-90.27413492,38.65167427
quercus palustris,-90.27424737,38.65168551
quercus palustris,-90.27431991,38.65166191
quercus palustris,-90.27995371,38.65225531
other,-90.28632613,38.65412159
fraxinus pennsylvanica,-90.28708241,38.65430739
fraxinus pennsylvanica,-90.29218451,38.65377484
acer saccharum,-90.25084043,38.60354937
other,-90.25033752,38.60350018
other,-90.25000502,38.60346521
other,-90.25229741,38.59992501
other,-90.25281846,38.60055814
tilia cordata,-90.24647613,38.57974233
other,-90.24798966,38.5809686
other,-90.24783007,38.58076512
other,-90.29414794,38.65416283
other,-90.29208168,38.65097931
acer saccharum,-90.2919908,38.65108461
other,-90.24491665,38.58108742
fraxinus pennsylvanica,-90.24570911,38.58066491
tilia cordata,-90.2457572,38.58060648
fraxinus pennsylvanica,-90.24672248,38.57944494
other,-90.24932049,38.58165565
other,-90.24941299,38.58170519
other,-90.25014825,38.58208374
acer saccharum,-90.25053044,38.58314958
other,-90.24850281,38.60332941
other,-90.24752803,38.60322825
quercus palustris,-90.23665629,38.72374166
