,name,long,lat
579,other,-115.1367093,36.16763882
580,other,-115.1367851,36.1676702
581,other,-115.1370182,36.1677726
582,other,-115.1359702,36.16713098
583,other,-115.1358783,36.16709335
584,other,-115.1357909,36.16705398
585,other,-115.1356851,36.16700952
586,other,-115.1354943,36.16692395
587,other,-115.1354311,36.16689829
588,other,-115.135208,36.16680425
589,other,-115.1351184,36.16695404
590,other,-115.2353947,36.14406214
591,other,-115.2355244,36.14405698
592,other,-115.2356024,36.14405392
593,other,-115.2369775,36.14409232
594,other,-115.2370817,36.14408367
595,other,-115.2388216,36.14412384
596,other,-115.2388989,36.14412555
597,other,-115.2389793,36.14412576
598,other,-115.2390741,36.14412201
599,other,-115.2391837,36.14411758
600,other,-115.2393809,36.14411304
601,other,-115.2394581,36.14412677
602,other,-115.2395825,36.14412868
603,other,-115.2396727,36.14412592
604,other,-115.2397628,36.14413185
605,other,-115.2398939,36.14411971
606,other,-115.240027,36.14410353
607,other,-115.240097,36.14410556
608,other,-115.2405867,36.14414651
609,other,-115.2406475,36.14412951
610,other,-115.240747,36.14413658
611,other,-115.2408264,36.14412272
612,other,-115.2569873,36.14378867
613,other,-115.257174,36.14378247
614,other,-115.135193,36.16698354
615,other,-115.2409156,36.1441366
616,other,-115.240997,36.14413046
617,other,-115.2534083,36.14385281
618,other,-115.2547584,36.14385258
619,other,-115.2549096,36.14384598
620,other,-115.2549825,36.14384
621,other,-115.255067,36.14384257
622,other,-115.2551527,36.14383371
623,other,-115.2552282,36.14382925
624,other,-115.255369,36.14381229
625,other,-115.2554379,36.14379682
626,other,-115.2555704,36.14379244
627,other,-115.2556652,36.14378921
628,other,-115.2558227,36.14378775
629,other,-115.255888,36.14378785
630,other,-115.1352604,36.16701171
631,other,-115.1353343,36.16704508
632,other,-115.1355992,36.16715816
633,other,-115.1358863,36.16728131
634,other,-115.1348314,36.166641
635,other,-115.1347582,36.16660708
636,other,-115.1346816,36.16657241
637,other,-115.2750747,36.14402473
638,other,-115.1346069,36.16654232
639,other,-115.1345344,36.16651208
640,other,-115.1343546,36.166432
641,other,-115.1342637,36.1663966
642,other,-115.1339723,36.16645987
643,other,-115.134195,36.16655455
644,other,-115.1342719,36.16658969
645,other,-115.1343975,36.16664282
646,other,-115.1344807,36.16667597
647,other,-115.1346494,36.16675272
648,other,-115.1347416,36.16679383
649,other,-115.1336654,36.16613665
650,other,-115.1335882,36.16610521
651,other,-115.1335169,36.16607397
652,other,-115.1334398,36.1660417
653,other,-115.1333509,36.16600331
654,other,-115.1332585,36.16596448
655,other,-115.1331702,36.16592412
656,other,-115.1330832,36.16588702
657,other,-115.1329943,36.16584965
658,other,-115.1329037,36.16580938
659,other,-115.1328093,36.16596042
660,other,-115.132964,36.16602431
661,other,-115.1330614,36.16606827
662,other,-115.1335745,36.16628998
663,other,-115.1323689,36.16558154
664,other,-115.1318346,36.16535256
665,other,-115.1317566,36.16532068
666,other,-115.1316592,36.16546592
667,other,-115.1318652,36.16555357
668,other,-115.1319611,36.16559232
669,other,-115.1321628,36.16568227
670,other,-115.1322458,36.16571705
671,other,-115.1324439,36.16580346
672,other,-115.1312985,36.16511837
673,other,-115.1312275,36.1650888
674,other,-115.1310653,36.16501834
675,other,-115.1309703,36.16497886
676,other,-115.1307871,36.16490115
677,other,-115.1307165,36.16486956
678,other,-115.1306274,36.16483197
679,other,-115.1305379,36.16497833
680,other,-115.1306188,36.16501371
681,other,-115.1308212,36.16510096
682,other,-115.1309082,36.16514161
683,other,-115.1309881,36.16517717
684,other,-115.1312882,36.16530508
685,other,-115.1302523,36.16464918
686,other,-115.1300728,36.16457493
687,other,-115.129973,36.16453122
688,other,-115.1298854,36.1644937
689,other,-115.1297953,36.16445572
690,other,-115.1297059,36.16441425
691,other,-115.129615,36.1643761
692,other,-115.1295251,36.16433826
693,other,-115.1294429,36.16430377
694,other,-115.129365,36.16450025
695,other,-115.1295887,36.16459688
696,other,-115.1299847,36.16476901
697,other,-115.1301573,36.16484339
698,other,-115.2665008,36.14378012
699,other,-115.2678488,36.14384792
700,other,-115.2679108,36.14384974
701,other,-115.2679915,36.14385402
702,other,-115.2680469,36.14385642
703,other,-115.2681473,36.14385488
704,other,-115.2682537,36.14385134
705,other,-115.2683906,36.14383433
706,other,-115.26846,36.14382829
707,other,-115.2712875,36.14390228
708,other,-115.2713861,36.14389951
709,other,-115.2714711,36.14390292
710,other,-115.2715526,36.14390663
711,other,-115.2729263,36.14397225
712,other,-115.2729899,36.14397172
713,other,-115.2730676,36.14397689
714,other,-115.2731605,36.1439786
715,other,-115.2732326,36.14397666
716,other,-115.2733394,36.14395718
717,other,-115.2734215,36.14395095
718,other,-115.2735887,36.1439557
719,other,-115.2736718,36.14395642
720,other,-115.2751665,36.14402653
721,other,-115.2752883,36.14402996
722,other,-115.2755705,36.14402019
723,other,-115.2756727,36.14401915
724,other,-115.2757661,36.14401496
725,other,-115.275896,36.14400702
726,other,-115.2759692,36.14401327
727,other,-115.2760267,36.14401391
728,other,-115.2760951,36.14401433
729,other,-115.2762722,36.14401879
730,other,-115.2763494,36.14402107
731,other,-115.1531233,36.14367978
732,other,-115.1530414,36.14368531
733,other,-115.1529685,36.14368834
734,other,-115.1528981,36.1436896
735,other,-115.1523814,36.14367502
736,other,-115.1506655,36.17261486
737,other,-115.1506496,36.17264458
738,other,-115.1505848,36.17267696
739,other,-115.1505811,36.17269537
740,other,-115.2963323,36.29199844
741,other,-115.1505144,36.17274192
742,other,-115.1504812,36.17274889
743,other,-115.1504828,36.17277159
744,other,-115.1504424,36.17279696
745,other,-115.1503915,36.17283081
746,other,-115.2025349,36.14450961
747,other,-115.2026362,36.14450316
748,other,-115.2027354,36.14449452
749,other,-115.2028311,36.14449515
750,other,-115.202926,36.14448723
751,other,-115.2030552,36.14448379
752,other,-115.2031255,36.14448258
753,other,-115.2032227,36.14448303
754,other,-115.2033161,36.14448607
755,other,-115.2034476,36.14448589
756,other,-115.2035404,36.14448747
757,other,-115.2066674,36.14453992
758,other,-115.2068424,36.14453447
759,other,-115.2069591,36.14451513
760,other,-115.1247864,36.14452693
761,other,-115.2070181,36.14451033
762,other,-115.2070776,36.1445051
763,other,-115.2094144,36.14452879
764,other,-115.2095095,36.14451703
765,other,-115.2097267,36.1444848
766,other,-115.2098039,36.14448157
767,other,-115.2109469,36.14450642
768,other,-115.2110469,36.14449807
769,other,-115.2111417,36.14448456
770,other,-115.2112267,36.14447229
771,other,-115.2113189,36.14448575
772,other,-115.2114427,36.14447965
773,other,-115.2115214,36.14447904
774,other,-115.2115868,36.14447613
775,other,-115.2116574,36.14447013
776,other,-115.2117322,36.14446127
777,other,-115.2118738,36.14445165
778,other,-115.2119535,36.14445041
779,other,-115.2129172,36.14446639
780,other,-115.2129912,36.14446528
781,other,-115.213124,36.14445519
782,other,-115.2131969,36.14444624
783,other,-115.2132782,36.14445275
784,other,-115.2133713,36.14444097
785,other,-115.2134582,36.14444369
786,other,-115.2135649,36.14444357
787,other,-115.2136405,36.14443666
788,other,-115.2137212,36.14444428
789,other,-115.2138156,36.14443138
790,other,-115.213975,36.14442069
791,other,-115.2140497,36.14441756
