,state,year,condition,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
5325,kansas,1993,min ,-9.0,-7.0,-1.0,3.0,11.0,15.0,19.0,18.0,10.0,5.0,-4.0,-4.0
5326,kansas,1993,max ,1.0,3.0,11.0,16.0,23.0,28.0,31.0,31.0,24.0,19.0,10.0,8.0
5327,kansas,1993,mean ,-4.0,-2.0,5.0,10.0,17.0,22.0,25.0,24.0,17.0,12.0,3.0,2.0
5340,kansas,1998,min ,-5.0,-1.0,-2.0,4.0,12.0,15.0,20.0,18.0,16.0,8.0,2.0,-6.0
5341,kansas,1998,max ,6.0,9.0,9.0,18.0,27.0,31.0,32.0,32.0,31.0,21.0,14.0,8.0
5342,kansas,1998,mean ,0.0,4.0,3.0,11.0,19.0,23.0,26.0,25.0,23.0,14.0,8.0,1.0
5355,kansas,2003,min ,-7.0,-7.0,-1.0,6.0,10.0,14.0,19.0,19.0,11.0,6.0,-1.0,-4.0
5356,kansas,2003,max ,7.0,6.0,13.0,21.0,24.0,28.0,36.0,34.0,26.0,22.0,12.0,8.0
5357,kansas,2003,mean ,-1.0,-1.0,7.0,13.0,17.0,21.0,27.0,27.0,18.0,14.0,6.0,2.0
5370,kansas,2008,min ,-8.0,-7.0,-2.0,3.0,9.0,16.0,19.0,18.0,12.0,6.0,0.0,-8.0
5371,kansas,2008,max ,6.0,6.0,13.0,17.0,24.0,30.0,33.0,30.0,26.0,19.0,13.0,6.0
5372,kansas,2008,mean ,-1.0,0.0,6.0,10.0,17.0,23.0,26.0,24.0,19.0,13.0,7.0,-2.0
5385,kansas,2013,min ,-7.0,-6.0,-3.0,2.0,10.0,16.0,18.0,18.0,14.0,6.0,-2.0,-9.0
5386,kansas,2013,max ,7.0,7.0,11.0,16.0,24.0,31.0,32.0,31.0,29.0,20.0,12.0,5.0
5387,kansas,2013,mean ,0.0,1.0,4.0,9.0,17.0,24.0,25.0,24.0,22.0,13.0,5.0,-2.0
5400,kansas,2018,min ,-9.0,-7.0,-1.0,1.0,14.0,18.0,19.0,18.0,15.0,6.0,-3.0,-5.0
5401,kansas,2018,max ,6.0,7.0,16.0,17.0,29.0,33.0,33.0,31.0,27.0,18.0,9.0,7.0
5402,kansas,2018,mean ,-2.0,-1.0,7.0,8.0,22.0,26.0,26.0,24.0,21.0,12.0,3.0,1.0
5415,kansas,2023,min ,-6.0,-6.0,-2.0,3.0,12.0,16.0,19.0,18.0,14.0,7.0,,
5416,kansas,2023,max ,6.0,9.0,12.0,21.0,26.0,29.0,32.0,33.0,31.0,22.0,,
5417,kansas,2023,mean ,1.0,2.0,6.0,12.0,18.0,23.0,26.0,26.0,22.0,14.0,,
5667,kentucky,1978,min ,-10.0,-11.0,-1.0,7.0,11.0,16.0,18.0,18.0,15.0,4.0,3.0,-3.0
5668,kentucky,1978,max ,-1.0,0.0,11.0,21.0,23.0,29.0,31.0,29.0,28.0,19.0,15.0,8.0
5669,kentucky,1978,mean ,-6.0,-5.0,5.0,13.0,17.0,22.0,24.0,23.0,22.0,12.0,9.0,3.0
5682,kentucky,1983,min ,-4.0,-2.0,2.0,4.0,9.0,15.0,19.0,19.0,13.0,8.0,2.0,-7.0
5683,kentucky,1983,max ,5.0,8.0,13.0,16.0,22.0,28.0,32.0,33.0,28.0,21.0,14.0,3.0
5684,kentucky,1983,mean ,1.0,3.0,8.0,10.0,16.0,22.0,26.0,26.0,21.0,14.0,8.0,-2.0
5697,kentucky,1988,min ,-6.0,-5.0,1.0,5.0,9.0,13.0,18.0,18.0,13.0,3.0,1.0,-3.0
5698,kentucky,1988,max ,4.0,7.0,14.0,20.0,25.0,31.0,32.0,32.0,26.0,17.0,14.0,8.0
5699,kentucky,1988,mean ,-1.0,1.0,7.0,12.0,17.0,22.0,25.0,25.0,19.0,10.0,8.0,3.0
5712,kentucky,1993,min ,-2.0,-5.0,0.0,5.0,11.0,16.0,20.0,18.0,13.0,6.0,1.0,-2.0
5713,kentucky,1993,max ,8.0,7.0,11.0,18.0,24.0,28.0,32.0,31.0,25.0,19.0,12.0,6.0
5714,kentucky,1993,mean ,3.0,1.0,6.0,12.0,18.0,22.0,26.0,24.0,19.0,12.0,7.0,2.0
5727,kentucky,1998,min ,1.0,1.0,3.0,6.0,13.0,17.0,19.0,17.0,14.0,8.0,2.0,-1.0
5728,kentucky,1998,max ,9.0,10.0,13.0,18.0,26.0,28.0,29.0,31.0,31.0,22.0,16.0,10.0
5729,kentucky,1998,mean ,4.0,6.0,8.0,12.0,19.0,23.0,24.0,24.0,23.0,15.0,9.0,4.0
5742,kentucky,2003,min ,-7.0,-3.0,2.0,7.0,12.0,14.0,18.0,18.0,13.0,7.0,4.0,-2.0
5743,kentucky,2003,max ,2.0,5.0,16.0,21.0,23.0,26.0,29.0,30.0,25.0,21.0,16.0,7.0
5744,kentucky,2003,mean ,-2.0,1.0,9.0,14.0,18.0,20.0,24.0,24.0,19.0,13.0,10.0,3.0
5757,kentucky,2008,min ,-5.0,-2.0,1.0,6.0,9.0,17.0,17.0,16.0,14.0,6.0,0.0,-3.0
5758,kentucky,2008,max ,6.0,8.0,13.0,19.0,23.0,30.0,30.0,30.0,28.0,21.0,12.0,8.0
5759,kentucky,2008,mean ,1.0,3.0,7.0,13.0,16.0,23.0,24.0,23.0,22.0,13.0,6.0,2.0
5772,kentucky,2013,min ,-3.0,-3.0,-1.0,6.0,12.0,17.0,18.0,17.0,14.0,8.0,-1.0,-2.0
5773,kentucky,2013,max ,7.0,8.0,9.0,19.0,24.0,28.0,28.0,28.0,27.0,20.0,12.0,8.0
5774,kentucky,2013,mean ,2.0,2.0,4.0,13.0,18.0,22.0,23.0,23.0,21.0,14.0,6.0,3.0
5787,kentucky,2018,min ,-7.0,1.0,1.0,3.0,16.0,18.0,19.0,19.0,17.0,9.0,0.0,0.0
5788,kentucky,2018,max ,4.0,12.0,12.0,17.0,28.0,30.0,31.0,29.0,28.0,21.0,11.0,9.0
5789,kentucky,2018,mean ,-1.0,7.0,7.0,10.0,22.0,24.0,24.0,24.0,23.0,14.0,5.0,4.0
5802,kentucky,2023,min ,1.0,1.0,2.0,6.0,11.0,14.0,19.0,18.0,14.0,8.0,,
5803,kentucky,2023,max ,11.0,13.0,14.0,21.0,24.0,27.0,30.0,29.0,27.0,21.0,,
5804,kentucky,2023,mean ,6.0,7.0,8.0,13.0,18.0,21.0,24.0,23.0,21.0,15.0,,
6054,louisiana,1978,min ,-1.0,0.0,6.0,13.0,17.0,21.0,22.0,21.0,20.0,11.0,11.0,4.0
6055,louisiana,1978,max ,8.0,11.0,19.0,26.0,29.0,32.0,34.0,33.0,31.0,27.0,23.0,17.0
6056,louisiana,1978,mean ,4.0,6.0,13.0,19.0,23.0,27.0,28.0,27.0,26.0,19.0,17.0,10.0
6069,louisiana,1983,min ,3.0,5.0,6.0,10.0,16.0,19.0,22.0,22.0,17.0,13.0,8.0,1.0
6070,louisiana,1983,max ,13.0,16.0,19.0,22.0,28.0,30.0,33.0,33.0,30.0,26.0,21.0,12.0
6071,louisiana,1983,mean ,8.0,10.0,13.0,16.0,22.0,25.0,28.0,28.0,24.0,19.0,14.0,7.0
6084,louisiana,1988,min ,1.0,4.0,8.0,12.0,14.0,19.0,22.0,22.0,19.0,12.0,9.0,4.0
6085,louisiana,1988,max ,12.0,16.0,21.0,26.0,29.0,32.0,32.0,33.0,31.0,24.0,22.0,17.0
6086,louisiana,1988,mean ,7.0,10.0,14.0,19.0,22.0,26.0,27.0,27.0,25.0,18.0,16.0,11.0
6099,louisiana,1993,min ,6.0,4.0,7.0,11.0,16.0,21.0,23.0,23.0,19.0,13.0,6.0,4.0
6100,louisiana,1993,max ,15.0,17.0,19.0,22.0,27.0,31.0,33.0,34.0,32.0,25.0,18.0,16.0
6101,louisiana,1993,mean ,10.0,11.0,13.0,16.0,22.0,26.0,28.0,28.0,25.0,19.0,12.0,10.0
